,month_year,temperature_berlin,temperature_brooklyn,year,month,temperature_berlin_ref,temperature_brooklyn_ref,climate_change_brooklyn,climate_change_berlin
81,2021-10,10.51290322580645,16.641935483870967,2021,10,9.983118279569892,12.965591397849462,3.676344086021505,0.5297849462365587
82,2021-11,5.916666666666667,7.473333333333333,2021,11,4.608444444444445,7.424777777777778,0.0485555555555548,1.3082222222222217
83,2021-12,1.5838709677419356,5.874193548387097,2021,12,0.930752688172043,1.325268817204301,4.548924731182796,0.6531182795698925
84,2022-01,3.2,-1.6258064516129034,2022,1,-1.0021505376344086,-2.1843010752688174,0.5584946236559141,4.202150537634409
85,2022-02,4.682142857142857,1.7,2022,2,0.1053128689492326,-1.0282172373081464,2.7282172373081464,4.576829988193625
86,2022-03,4.441935483870967,6.019354838709678,2022,3,3.471397849462366,3.786451612903226,2.2329032258064516,0.9705376344086014
87,2022-04,8.143333333333334,9.943333333333332,2022,4,7.770111111111111,9.29211111111111,0.6512222222222217,0.373222222222223
88,2022-05,15.519354838709678,16.032258064516128,2022,5,13.018387096774196,15.17731182795699,0.8549462365591385,2.500967741935481
89,2022-06,19.95,21.003333333333337,2022,6,16.511777777777777,20.587111111111113,0.41622222222222405,3.4382222222222225
90,2022-07,20.251612903225805,25.703225806451613,2022,7,18.017311827956988,23.61881720430107,2.0844086021505426,2.2343010752688173
91,2022-08,21.774193548387096,25.20967741935484,2022,8,17.840215053763444,22.944301075268815,2.2653763440860253,3.933978494623652
92,2022-09,13.726666666666668,20.09,2022,9,14.38188888888889,19.17255555555555,0.917444444444449,-0.6552222222222213
93,2022-10,12.658064516129032,13.196774193548388,2022,10,9.983118279569892,12.965591397849462,0.23118279569892586,2.6749462365591405
94,2022-11,5.67,9.48,2022,11,4.608444444444445,7.424777777777778,2.0552222222222225,1.0615555555555547
95,2022-12,1.4774193548387096,2.574193548387097,2022,12,0.930752688172043,1.325268817204301,1.2489247311827958,0.5466666666666665
96,2023-01,4.061290322580645,4.806451612903226,2023,1,-1.0021505376344086,-2.1843010752688174,6.990752688172043,5.063440860215054
97,2023-02,2.867857142857143,3.5464285714285713,2023,2,0.1053128689492326,-1.0282172373081464,4.574645808736718,2.7625442739079102
98,2023-03,5.438709677419355,5.338709677419355,2023,3,3.471397849462366,3.786451612903226,1.552258064516129,1.9673118279569888
