,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,temperature_brooklyn,feels_like_brooklyn,snowfall_brooklyn,rain_brooklyn,humidity_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn
3420,2024-11-24,63,78,8.2,4.4,11.4,0.0,1.1102055555555554,8.283458333333334,Sunday,Rain,3,8.4,4.0,0.0,0.0,61,8.381002777777779,9.633458333333332,2024-11,2024,11,fall,Sunday,Cloudy,False,False,True,0.1340268171674136,0.8699889995660381,False,True
3426,2024-11-30,3,87,3.0,-0.2,0.0,0.0,6.553861111111112,8.045530555555555,Saturday,Cloudy,2,0.5,-4.4,0.0,0.0,57,8.46586111111111,9.490505555555556,2024-11,2024,11,fall,Saturday,Partly Cloudy,False,False,True,0.8145965099325334,0.8920347879840143,True,True
3427,2024-12-01,1,90,0.3,-3.3,0.0,0.0,6.518108333333333,8.010488888888888,Sunday,Mainly Sunny,3,-0.7,-5.7,0.0,0.0,53,8.442736111111111,9.469583333333333,2024-12,2024,12,winter,Sunday,Cloudy,False,False,True,0.8136966948889235,0.8915636320969186,True,True
3433,2024-12-07,53,91,5.1,1.8,2.8,0.0,2.0,7.828633333333334,Saturday,Drizzle,3,0.9,-4.0,0.0,0.0,56,8.250572222222223,9.361905555555555,2024-12,2024,12,winter,Saturday,Cloudy,False,False,True,0.2554724323956076,0.8812919734408298,False,True
3434,2024-12-08,51,93,4.2,0.9,1.9,0.0,0.0,7.803561111111111,Sunday,Light Drizzle,3,6.3,1.6,0.0,0.0,51,7.199405555555556,9.3472,2024-12,2024,12,winter,Sunday,Cloudy,False,False,True,0.0,0.7702205532732321,False,False
3440,2024-12-14,53,90,-0.2,-4.5,1.4,0.0,0.0,7.689397222222222,Saturday,Drizzle,3,-2.2,-6.3,0.0,0.0,54,8.186591666666667,9.281,2024-12,2024,12,winter,Saturday,Cloudy,False,False,True,0.0,0.8820807743418453,False,True
3441,2024-12-15,53,93,4.9,0.5,3.0,0.0,0.0,7.6769,Sunday,Drizzle,51,-0.1,-3.9,0.0,0.3,67,4.379555555555555,9.273894444444444,2024-12,2024,12,winter,Sunday,Light Drizzle,False,False,True,0.0,0.47224556865418515,False,False
3447,2024-12-21,51,83,4.5,0.2,1.5,0.0,0.1014722222222222,7.644261111111111,Saturday,Light Drizzle,73,-2.5,-7.5,2.8,0.0,74,7.0,9.256366666666668,2024-12,2024,12,winter,Saturday,Snow,False,False,True,0.013274300909832865,0.7562362482039388,False,False
3448,2024-12-22,53,89,5.5,1.6,3.9,0.0,3.4011222222222224,7.6457,Sunday,Drizzle,1,-8.9,-14.1,0.0,0.0,60,8.124274999999999,9.257497222222222,2024-12,2024,12,winter,Sunday,Mainly Sunny,False,False,True,0.4448411816082533,0.8775887051305863,False,True
3454,2024-12-28,3,97,-1.1,-3.9,0.0,0.0,0.4336916666666666,7.693663888888889,Saturday,Cloudy,53,4.9,2.8,0.0,6.2,95,0.0,9.28751388888889,2024-12,2024,12,winter,Saturday,Drizzle,False,False,True,0.05636997832632118,0.0,False,False
3455,2024-12-29,3,93,-0.9,-4.8,0.0,0.0,1.9593277777777776,7.708002777777778,Sunday,Cloudy,55,9.7,7.6,0.0,4.7,93,6.0017,9.296272222222225,2024-12,2024,12,winter,Sunday,Heavy Drizzle,False,False,True,0.25419396363303504,0.645602867099058,False,False
3461,2025-01-04,3,86,-1.1,-5.5,0.0,0.0,2.3966583333333333,7.82963611111111,Saturday,Cloudy,3,-1.3,-7.3,0.0,0.0,49,7.8016,9.37011388888889,2025-01,2025,1,winter,Saturday,Cloudy,False,False,True,0.3061008582419575,0.8326046078533967,False,True
3462,2025-01-05,75,86,-1.1,-5.3,3.0,3.78,0.0,7.855561111111111,Sunday,Heavy Snow,3,-2.0,-7.7,0.0,0.0,50,8.131063888888889,9.385825,2025-01,2025,1,winter,Sunday,Cloudy,False,False,True,0.0,0.8663131785313373,False,True
3468,2025-01-11,73,87,0.1,-5.3,0.0,1.68,0.2863777777777778,8.04626388888889,Saturday,Snow,73,-1.1,-5.4,1.19,0.1,71,3.9452888888888897,9.501916666666666,2025-01,2025,1,winter,Saturday,Snow,False,False,True,0.035591397663857105,0.41520979685385123,False,False
3469,2025-01-12,3,85,-0.8,-5.1,0.0,0.0,6.028652777777778,8.084077777777777,Sunday,Cloudy,3,0.7,-3.3,0.0,0.0,64,8.339136111111111,9.524988888888888,2025-01,2025,1,winter,Sunday,Cloudy,False,False,True,0.7457440345700123,0.8755008754749204,False,True
3475,2025-01-18,3,95,-1.9,-4.9,0.0,0.0,2.6924361111111113,8.340352777777778,Saturday,Cloudy,53,3.8,0.1,0.0,2.0,80,0.3502,9.682008333333334,2025-01,2025,1,winter,Saturday,Drizzle,False,False,True,0.3228204109405178,0.036170181634147876,False,False
3476,2025-01-19,3,84,-0.1,-3.9,0.0,0.0,6.9599472222222225,8.38723888888889,Sunday,Cloudy,75,0.9,-3.0,4.76,0.1,89,0.0,9.710869444444445,2025-01,2025,1,winter,Sunday,Heavy Snow,False,False,True,0.8298258001739415,0.0,True,False
3482,2025-01-25,51,77,9.0,5.6,1.1,0.0,1.1394944444444446,8.686958333333333,Saturday,Light Drizzle,3,-6.5,-11.0,0.0,0.0,65,8.889583333333333,9.89639722222222,2025-01,2025,1,winter,Saturday,Cloudy,False,False,True,0.1311730067901916,0.898264604150276,False,True
3483,2025-01-26,61,92,6.8,3.9,8.2,0.0,3.0399083333333334,8.73935,Sunday,Light Rain,3,-0.5,-4.9,0.0,0.0,63,8.556477777777777,9.929008333333334,2025-01,2025,1,winter,Sunday,Cloudy,False,False,True,0.347841467996285,0.8617655953668865,False,True
3489,2025-02-01,3,88,2.3,-0.8,0.0,0.0,0.3145083333333333,9.074027777777776,Saturday,Cloudy,61,1.3,-3.5,0.0,3.8,69,5.011713888888888,10.139211111111113,2025-02,2025,2,winter,Saturday,Light Rain,False,False,True,0.034660278878973876,0.4942903184446739,False,False
3490,2025-02-02,3,87,1.7,-1.2,0.0,0.0,2.9249027777777776,9.13326111111111,Sunday,Cloudy,75,-3.9,-8.5,4.62,0.2,56,3.6840527777777776,10.176613888888888,2025-02,2025,2,winter,Sunday,Heavy Snow,False,False,True,0.3202473620533496,0.36201164925792556,False,False
3496,2025-02-08,3,75,2.0,-2.3,0.0,0.0,7.411658333333333,9.502363888888889,Saturday,Cloudy,75,-1.6,-5.9,3.92,0.3,57,5.2188638888888885,10.410938888888888,2025-02,2025,2,winter,Saturday,Heavy Snow,False,False,True,0.7799804785417429,0.5012865741108845,False,False
3497,2025-02-09,3,80,0.1,-3.7,0.0,0.0,8.329672222222221,9.5655,Sunday,Cloudy,73,0.3,-3.5,1.19,4.6,85,7.925441666666667,10.451225,2025-02,2025,2,winter,Sunday,Snow,False,False,True,0.8708036403974933,0.7583265757522842,True,False
3503,2025-02-15,73,86,-2.0,-5.1,0.1,0.91,0.2269111111111111,9.948133333333333,Saturday,Snow,73,-0.6,-4.8,1.89,4.6,66,1.9291222222222224,10.696522222222224,2025-02,2025,2,winter,Saturday,Snow,False,False,True,0.022809415948497315,0.1803504150362475,False,False
