,day,sunny_flag_brooklyn,weather_description_brooklyn,sunny_flag_berlin,weather_description_berlin
3467,2025-01-10,True,Sunny,False,Snow
3468,2025-01-11,True,Sunny,False,Snow
3469,2025-01-12,True,Sunny,False,Cloudy
3470,2025-01-13,True,Sunny,False,Cloudy
3471,2025-01-14,False,Cloudy,False,Light Rain
3472,2025-01-15,False,Cloudy,False,Light Drizzle
3473,2025-01-16,False,Cloudy,False,Cloudy
3474,2025-01-17,False,Cloudy,False,Cloudy
3475,2025-01-18,False,Snow,False,Cloudy
3476,2025-01-19,False,Light Snow,False,Cloudy
3477,2025-01-20,False,Snow,False,Cloudy
3478,2025-01-21,False,Snow,False,Cloudy
3479,2025-01-22,False,Heavy Snow,False,Cloudy
3480,2025-01-23,False,Snow,False,Light Rain
3481,2025-01-24,True,Sunny,False,Drizzle
3482,2025-01-25,False,Cloudy,False,Light Drizzle
3483,2025-01-26,False,Cloudy,False,Light Rain
3484,2025-01-27,False,Cloudy,False,Drizzle
3485,2025-01-28,False,Light Snow,False,Drizzle
3486,2025-01-29,False,Snow,False,Heavy Drizzle
3487,2025-01-30,False,Snow,False,Light Drizzle
3488,2025-01-31,False,Snow,False,Heavy Drizzle
3489,2025-02-01,False,Mainly Sunny,False,Cloudy
3490,2025-02-02,True,Sunny,False,Cloudy
3491,2025-02-03,False,Cloudy,False,Cloudy
3492,2025-02-04,False,Cloudy,False,Mainly Sunny
3493,2025-02-05,False,Cloudy,False,Cloudy
3494,2025-02-06,False,Cloudy,False,Cloudy
3495,2025-02-07,False,Light Snow,False,Cloudy
3496,2025-02-08,False,Light Snow,False,Cloudy
3497,2025-02-09,False,Cloudy,False,Cloudy
3498,2025-02-10,False,Cloudy,False,Cloudy
3499,2025-02-11,False,Snow,False,Cloudy
3500,2025-02-12,False,Snow,False,Cloudy
3501,2025-02-13,False,Light Snow,False,Snow
3502,2025-02-14,False,Light Snow,False,Snow
3503,2025-02-15,False,Snow,False,Snow
3504,2025-02-16,False,Light Snow,False,Light Snow
3505,2025-02-17,False,Light Snow,False,Cloudy
3506,2025-02-18,False,Cloudy,True,Sunny
3507,2025-02-19,False,Cloudy,True,Sunny
3508,2025-02-20,False,Cloudy,False,Cloudy
3509,2025-02-21,False,Cloudy,False,Cloudy
3510,2025-02-22,False,Cloudy,False,Cloudy
3511,2025-02-23,False,Cloudy,False,Cloudy
3512,2025-02-24,False,Light Snow,False,Cloudy
3513,2025-02-25,False,Snow,False,Drizzle
3514,2025-02-26,False,Snow,False,Drizzle
3515,2025-02-27,False,Snow,False,Light Drizzle
3516,2025-02-28,False,Snow,False,Light Rain
3517,2025-03-01,False,Cloudy,False,Light Drizzle
3518,2025-03-02,False,Snow,False,Cloudy
3519,2025-03-03,False,Snow,False,Cloudy
3520,2025-03-04,False,Cloudy,False,Cloudy
3521,2025-03-05,False,Cloudy,False,Cloudy
3522,2025-03-06,False,Heavy Snow,False,Partly Cloudy
3523,2025-03-07,False,Heavy Snow,False,Cloudy
3524,2025-03-08,False,Heavy Snow,False,Cloudy
3525,2025-03-09,False,Heavy Snow,False,Cloudy
3526,2025-03-10,False,Light Snow,False,Cloudy
3527,2025-03-11,False,Cloudy,False,Cloudy
3528,2025-03-12,False,Cloudy,False,Drizzle
3529,2025-03-13,False,Partly Cloudy,False,Light Drizzle
3530,2025-03-14,False,Cloudy,False,Light Drizzle
3531,2025-03-15,False,Snow,False,Light Drizzle
3532,2025-03-16,False,Cloudy,False,Light Drizzle
3533,2025-03-17,False,Cloudy,False,Light Drizzle
3534,2025-03-18,True,Sunny,True,Sunny
3535,2025-03-19,True,Sunny,True,Sunny
3536,2025-03-20,True,Sunny,False,Cloudy
3537,2025-03-21,False,Cloudy,False,Mainly Sunny
3538,2025-03-22,False,Cloudy,True,Sunny
3539,2025-03-23,False,Snow,False,Cloudy
3540,2025-03-24,False,Heavy Snow,False,Cloudy
3541,2025-03-25,False,Snow,False,Cloudy
3542,2025-03-26,False,Snow,False,Light Drizzle
3543,2025-03-27,False,Light Snow,False,Cloudy
3544,2025-03-28,False,Snow,False,Cloudy
3545,2025-03-29,False,Snow,False,Cloudy
3546,2025-03-30,False,Light Snow,False,Light Snow
3547,2025-03-31,False,Mainly Sunny,False,Light Drizzle
3548,2025-04-01,False,Mainly Sunny,False,Cloudy
3549,2025-04-02,False,Mainly Sunny,False,Mainly Sunny
3550,2025-04-03,False,Cloudy,True,Sunny
3551,2025-04-04,False,Light Snow,False,Cloudy
3552,2025-04-05,False,Heavy Snow,False,Cloudy
3553,2025-04-06,False,Heavy Snow,False,Cloudy
3554,2025-04-07,False,Heavy Snow,False,Cloudy
3555,2025-04-08,False,Snow,False,Cloudy
3556,2025-04-09,False,Heavy Snow,False,Light Drizzle
3557,2025-04-10,False,Cloudy,False,Cloudy
3558,2025-04-11,False,Cloudy,False,Light Drizzle
3559,2025-04-12,False,Cloudy,False,Cloudy
3560,2025-04-13,False,Heavy Snow,False,Cloudy
3561,2025-04-14,False,Heavy Snow,False,Light Drizzle
3562,2025-04-15,False,Heavy Snow,False,Light Drizzle
3563,2025-04-16,False,Heavy Snow,False,Cloudy
